Code,Name,Date,Close
AU.SHF,SHFE Gold,2022/7/1,398
AU.SHF,SHFE Gold,2022/7/4,400
AU.SHF,SHFE Gold,2022/7/5,399
AU.SHF,SHFE Gold,2022/7/6,392
AU.SHF,SHFE Gold,2022/7/7,386
AU.SHF,SHFE Gold,2022/7/8,386
AU.SHF,SHFE Gold,2022/7/11,386
AU.SHF,SHFE Gold,2022/7/12,385
AU.SHF,SHFE Gold,2022/7/13,383
AU.SHF,SHFE Gold,2022/7/14,383
AU.SHF,SHFE Gold,2022/7/15,380
AU.SHF,SHFE Gold,2022/7/18,382
AU.SHF,SHFE Gold,2022/7/19,381
AU.SHF,SHFE Gold,2022/7/20,380
AU.SHF,SHFE Gold,2022/7/21,377
AU.SHF,SHFE Gold,2022/7/22,383
AU.SHF,SHFE Gold,2022/7/25,384
AU.SHF,SHFE Gold,2022/7/26,384
AU.SHF,SHFE Gold,2022/7/27,384
AU.SHF,SHFE Gold,2022/7/28,388
AU.SHF,SHFE Gold,2022/7/29,393
AU.SHF,SHFE Gold,2022/8/1,393
AU.SHF,SHFE Gold,2022/8/2,396
AU.SHF,SHFE Gold,2022/8/3,395
AU.SHF,SHFE Gold,2022/8/4,395
AU.SHF,SHFE Gold,2022/8/5,398
AU.SHF,SHFE Gold,2022/8/8,396
AU.SHF,SHFE Gold,2022/8/9,398
AU.SHF,SHFE Gold,2022/8/10,398
AU.SHF,SHFE Gold,2022/8/11,397
AU.SHF,SHFE Gold,2022/8/12,399
AU.SHF,SHFE Gold,2022/8/15,399
AU.SHF,SHFE Gold,2022/8/16,399
AU.SHF,SHFE Gold,2022/8/17,397
AU.SHF,SHFE Gold,2022/8/18,395
AU.SHF,SHFE Gold,2022/8/19,395
AU.SHF,SHFE Gold,2022/8/22,393
AU.SHF,SHFE Gold,2022/8/23,395
AU.SHF,SHFE Gold,2022/8/24,397
AU.SHF,SHFE Gold,2022/8/25,398
AU.SHF,SHFE Gold,2022/8/26,399
AU.SHF,SHFE Gold,2022/8/29,395
AU.SHF,SHFE Gold,2022/8/30,397
AU.SHF,SHFE Gold,2022/8/31,394
AU.SHF,SHFE Gold,2022/9/1,391
AU.SHF,SHFE Gold,2022/9/2,390
AU.SHF,SHFE Gold,2022/9/5,394
AU.SHF,SHFE Gold,2022/9/6,396
AU.SHF,SHFE Gold,2022/9/7,394
AU.SHF,SHFE Gold,2022/9/8,397
AU.SHF,SHFE Gold,2022/9/9,397
AU.SHF,SHFE Gold,2022/9/13,397
AU.SHF,SHFE Gold,2022/9/14,394
AU.SHF,SHFE Gold,2022/9/15,392
AU.SHF,SHFE Gold,2022/9/16,391
AU.SHF,SHFE Gold,2022/9/19,392
AU.SHF,SHFE Gold,2022/9/20,393
AU.SHF,SHFE Gold,2022/9/21,394
AU.SHF,SHFE Gold,2022/9/22,393
AU.SHF,SHFE Gold,2022/9/23,395
AU.SHF,SHFE Gold,2022/9/26,392
AU.SHF,SHFE Gold,2022/9/27,392
AU.SHF,SHFE Gold,2022/9/28,393
AU.SHF,SHFE Gold,2022/9/29,397
AU.SHF,SHFE Gold,2022/9/30,398
AU.SHF,SHFE Gold,2022/10/10,401
AU.SHF,SHFE Gold,2022/10/11,400
AU.SHF,SHFE Gold,2022/10/12,400
AU.SHF,SHFE Gold,2022/10/13,400
AU.SHF,SHFE Gold,2022/10/14,400
AU.SHF,SHFE Gold,2022/10/17,398
AU.SHF,SHFE Gold,2022/10/18,398
AU.SHF,SHFE Gold,2022/10/19,397
AU.SHF,SHFE Gold,2022/10/20,395
AU.SHF,SHFE Gold,2022/10/21,395
AU.SHF,SHFE Gold,2022/10/24,400
AU.SHF,SHFE Gold,2022/10/25,401
AU.SHF,SHFE Gold,2022/10/26,401
AU.SHF,SHFE Gold,2022/10/27,400
AU.SHF,SHFE Gold,2022/10/28,400
AU.SHF,SHFE Gold,2022/10/31,399
AU.SHF,SHFE Gold,2022/11/1,399
AU.SHF,SHFE Gold,2022/11/2,399
AU.SHF,SHFE Gold,2022/11/3,398
AU.SHF,SHFE Gold,2022/11/4,398
AU.SHF,SHFE Gold,2022/11/7,401
AU.SHF,SHFE Gold,2022/11/8,402
AU.SHF,SHFE Gold,2022/11/9,411
AU.SHF,SHFE Gold,2022/11/10,411
AU.SHF,SHFE Gold,2022/11/11,414
AU.SHF,SHFE Gold,2022/11/14,411
AU.SHF,SHFE Gold,2022/11/15,412
AU.SHF,SHFE Gold,2022/11/16,415
AU.SHF,SHFE Gold,2022/11/17,415
AU.SHF,SHFE Gold,2022/11/18,415
